algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Greedy, 'SouthAngelaport'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'EastJessica'->'WestJohntown'->'Samanthaside', 6, 2340.1110000000003, 6, 7, 3.3333333333333335, 0.00016823500027385307, success, 50
Astar, 'SouthAngelaport'->'NorthGloriaview'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'EastJessica'->'WestJohntown'->'NewTonyberg'->'Samanthaside', 8, 2291.4069999999997, 32, 42, 1.625, 0.0005412549999164185, success, 50
IDAstar, 'SouthAngelaport'->'Melissabury'->'NorthGloriaview'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'EastJessica'->'WestJohntown'->'Samanthaside', 8, 2491.082, 213, 347, 1.604878048780488, 0.002793909000502026, success, 50
Backtracking, 'SouthRobin'->'EastGregorystad'->'Allenport'->'Fishermouth'->'Youngtown'->'WestMichael'->'Jacksonfurt'->'Smithborough'->'LakeAngelfurt'->'LakeHeatherburgh'->'Hernandezmouth'->'Russellburgh'->'SouthKimberly'->'Johnburgh'->'NorthOlivia'->'Bowenmouth'->'Sandovalport'->'Amandatown'->'Brownshire'->'Eduardoport'->'WestCassandraton'->'Christopherview'->'NorthDaisyport'->'Jonathanmouth', 23, 4321.244, 34, 35, 2.764705882352941, 0.0003651550005088211, success, 50
BFS, 'SouthRobin'->'LakeJulie'->'Fishermouth'->'Youngtown'->'Zavalafort'->'Jonathanmouth', 5, 2806.474, 17, 27, 1.5294117647058822, 9.471799967286643e-05, success, 50
DFS, 'SouthRobin'->'EastGregorystad'->'Allenport'->'Fishermouth'->'Youngtown'->'WestMichael'->'Smithfurt'->'Jacksonfurt'->'Smithborough'->'LakeAngelfurt'->'LakeHeatherburgh'->'SouthKimberly'->'Johnburgh'->'NorthOlivia'->'Bowenmouth'->'Sandovalport'->'Brownshire'->'WestCassandraton'->'NorthDaisyport'->'Jonathanmouth', 19, 3682.7270000000003, 26, 27, 2.0, 0.0001774929996827268, success, 50
UCS, 'SouthRobin'->'EastGregorystad'->'Allenport'->'Fishermouth'->'Youngtown'->'Zavalafort'->'Jonathanmouth', 6, 2740.7929999999997, 172, 50, 3.44, 0.0019712459998117993, success, 50
Greedy, 'SouthRobin'->'LakeJulie'->'Fishermouth'->'Youngtown'->'Zavalafort'->'Jonathanmouth', 5, 2806.474, 5, 6, 3.8, 0.0001410550003129174, success, 50
Astar, 'SouthRobin'->'EastGregorystad'->'Allenport'->'Fishermouth'->'Youngtown'->'Zavalafort'->'Jonathanmouth', 6, 2740.7929999999997, 34, 37, 1.3235294117647058, 0.0005049669998697937, success, 50
IDAstar, 'SouthRobin'->'EastGregorystad'->'Allenport'->'Fishermouth'->'Youngtown'->'Zavalafort'->'Jonathanmouth', 6, 2740.7929999999997, 120, 172, 1.4298245614035088, 0.0013788650003334624, success, 50
Backtracking, 'NorthAndrew'->'Garciafort'->'Rodneyhaven'->'Bennettbury'->'WestMatthewmouth'->'Davidshire'->'EastRobert'->'Reginamouth'->'Brendaland'->'Ashleyburgh'->'Brianshire'->'Lanechester'->'NorthJeffreyborough'->'Kelseymouth'->'Hernandezhaven'->'Sabrinachester'->'SouthAna'->'Johnstonshire'->'Sandramouth'->'PortSusanbury'->'Williamsview', 20, 5679.306999999999, 37, 38, 2.72972972972973, 0.00044944300043425756, success, 50
BFS, 'NorthAndrew'->'Hartberg'->'SouthAna'->'Sabrinachester'->'Hernandezhaven'->'Kelseymouth'->'Williamsview', 6, 2072.3630000000003, 41, 49, 1.170731707317073, 0.00020593599947460461, success, 50
DFS, 'NorthAndrew'->'Hartberg'->'SouthAna'->'Johnstonshire'->'Sandramouth'->'PortSusanbury'->'Williamsview', 6, 3350.4150000000004, 14, 12, 1.8571428571428572, 8.091200015769573e-05, success, 50
UCS, 'NorthAndrew'->'Hartberg'->'SouthAna'->'Sabrinachester'->'Hernandezhaven'->'Kelseymouth'->'Williamsview', 6, 2072.363, 172, 50, 3.44, 0.0019663769999169745, success, 50
Greedy, 'NorthAndrew'->'Garciafort'->'Rodneyhaven'->'Bennettbury'->'WestMatthewmouth'->'Davidshire'->'EastRobert'->'Reginamouth'->'Brianshire'->'NorthJeffreyborough'->'Kelseymouth'->'Williamsview', 11, 2427.445, 11, 12, 2.4545454545454546, 0.00021746699985669693, success, 50
Astar, 'NorthAndrew'->'Hartberg'->'SouthAna'->'Sabrinachester'->'Hernandezhaven'->'Kelseymouth'->'Williamsview', 6, 2072.3630000000003, 31, 43, 1.4838709677419355, 0.00045253899952513166, success, 50
IDAstar, 'NorthAndrew'->'Hartberg'->'SouthAna'->'Sabrinachester'->'Hernandezhaven'->'Kelseymouth'->'Williamsview', 6, 2072.363, 324, 576, 1.7861635220125787, 0.004220943999825977, success, 50
Backtracking, 'Baileychester'->'Fullermouth'->'Brittanyville'->'EastRyanside'->'Bonnieville'->'NorthKevinmouth'->'Jacobmouth'->'Donnamouth'->'EastDillonfurt'->'WestGregorybury'->'EastJessicashire'->'SouthMichelle', 11, 2406.344, 12, 13, 3.5, 0.0001084929999706219, success, 50
BFS, 'Baileychester'->'Fullermouth'->'Brittanyville'->'EastRyanside'->'Donnamouth'->'WestElizabeth'->'SouthMichelle', 6, 2013.719, 47, 50, 1.0425531914893618, 0.0002593770004750695, success, 50
DFS, 'Baileychester'->'NewSara'->'Tonyaberg'->'EastJill'->'PortEricshire'->'PortLisachester'->'Collierport'->'PortJose'->'PortShawn'->'SouthSamanthaburgh'->'Carolynmouth'->'Joshuamouth'->'Martinezville'->'SouthTanner'->'Claytonberg'->'NewStephanieshire'->'WestGregorybury'->'EastDillonfurt'->'Jacobmouth'->'Donnamouth'->'WestElizabeth'->'SouthMichelle', 21, 3588.7960000000003, 56, 47, 1.5, 0.0003363109999554581, success, 50
UCS, 'Baileychester'->'Fullermouth'->'SouthMichaelberg'->'Brittanyville'->'EastRyanside'->'WestMichael'->'EastKylebury'->'Jacobmouth'->'Donnamouth'->'WestElizabeth'->'SouthMichelle', 10, 2004.8909999999998, 172, 50, 3.44, 0.0019452380001894198, success, 50
Greedy, 'Baileychester'->'NewSara'->'EastJill'->'PortEricshire'->'PortLisachester'->'Joshuamouth'->'Martinezville'->'Claytonberg'->'WestElizabeth'->'SouthMichelle', 9, 2595.0150000000003, 9, 10, 3.7777777777777777, 0.00021349000053305645, success, 50
Astar, 'Baileychester'->'Fullermouth'->'SouthMichaelberg'->'Brittanyville'->'EastRyanside'->'WestMichael'->'EastKylebury'->'Jacobmouth'->'Donnamouth'->'WestElizabeth'->'SouthMichelle', 10, 2004.8909999999998, 28, 39, 1.5714285714285714, 0.00039702499998384155, success, 50
IDAstar, 'Baileychester'->'Fullermouth'->'Brittanyville'->'EastRyanside'->'Donnamouth'->'WestElizabeth'->'SouthMichelle', 6, 2013.719, 230, 432, 1.8303571428571428, 0.003096075000030396, success, 50
Backtracking, 'Reginafurt'->'Christopherfurt'->'Jenkinsberg'->'Thomasland'->'Matthewport'->'Harrisland'->'Contrerasberg'->'Christophermouth'->'NorthJenniferport'->'Farmerfort'->'EastDeborahshire'->'Jasonburgh'->'Karenville', 12, 3081.4330000000004, 32, 33, 2.8125, 0.0003746330003195908, success, 50
BFS, 'Reginafurt'->'Obrienhaven'->'Thomasland'->'Matthewport'->'LakeDawnmouth'->'Jasonburgh'->'Karenville', 6, 2420.193, 25, 44, 1.72, 0.00012482400052249432, success, 50
DFS, 'Reginafurt'->'Christopherfurt'->'Thomasland'->'Matthewport'->'Harrisland'->'NorthJenniferport'->'Contrerasberg'->'Fitzgeraldland'->'Audreyborough'->'Timothyberg'->'PortSarah'->'Luceroborough'->'NorthDavidmouth'->'SouthAnamouth'->'Warnerberg'->'LakeMichael'->'EastDeborahshire'->'Jasonburgh'->'Karenville', 18, 4583.848, 51, 42, 1.5686274509803921, 0.00029629599976033205, success, 50
UCS, 'Reginafurt'->'Christopherfurt'->'Jenkinsberg'->'Thomasland'->'Matthewport'->'LakeDawnmouth'->'Jasonburgh'->'Karenville', 7, 2225.529, 169, 48, 3.5208333333333335, 0.0016992159999063006, success, 50
Greedy, 'Reginafurt'->'Christopherfurt'->'Thomasland'->'Matthewport'->'LakeDawnmouth'->'Jasonburgh'->'Karenville', 6, 2339.117, 7, 8, 2.857142857142857, 0.00013397199927567272, success, 50
Astar, 'Reginafurt'->'Christopherfurt'->'Jenkinsberg'->'Thomasland'->'Matthewport'->'LakeDawnmouth'->'Jasonburgh'->'Karenville', 7, 2225.529, 22, 28, 1.3636363636363635, 0.0002936099999715225, success, 50
IDAstar, 'Reginafurt'->'Christopherfurt'->'Jenkinsberg'->'Thomasland'->'Matthewport'->'LakeDawnmouth'->'Jasonburgh'->'Karenville', 7, 2225.529, 67, 106, 1.5833333333333333, 0.0007537629999205819, success, 50
