algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Astar, 'Sarahshire'->'LakeLaurieburgh'->'Grayberg'->'Patrickmouth', 3, 183.591, 13, 19, 2.923076923076923, 0.0002787020002870122, success, 25
IDAstar, 'Sarahshire'->'LakeLaurieburgh'->'Grayberg'->'Patrickmouth', 3, 183.591, 3, 7, 1.0, 0.00015179399997578003, success, 25
Backtracking, 'Danielleport'->'NewAnthonymouth'->'Patriciafurt'->'Harrischester'->'Bankschester'->'NorthAmanda'->'Carolstad'->'EastDevin'->'EastBrianmouth'->'Christineland'->'EastLaurahaven'->'Jasonport'->'LakePatrickstad'->'Rebeccabury'->'SouthPeter'->'EastMelanie'->'Angelicastad'->'Hinesmouth', 17, 792.3489999999999, 17, 18, 1.0, 0.00024111200036713853, success, 25
BFS, 'Danielleport'->'SouthJames'->'EastLaurahaven'->'Christineland'->'EastMelanie'->'Hinesmouth', 5, 300.10900000000004, 23, 25, 4.434782608695652, 0.00016852599947014824, success, 25
DFS, 'Danielleport'->'NewAnthonymouth'->'Patriciafurt'->'SouthPeter'->'PortChristine'->'Carolstad'->'EastDevin'->'EastBrianmouth'->'WestTammyport'->'EastMelanie'->'Angelicastad'->'Hinesmouth', 11, 504.92300000000006, 14, 15, 4.285714285714286, 0.0002571029999671737, success, 25
UCS, 'Danielleport'->'NewAnthonymouth'->'SouthJames'->'EastLaurahaven'->'EastBrianmouth'->'EastMelanie'->'Hinesmouth', 6, 244.40300000000002, 108, 25, 4.32, 0.001245958000254177, success, 25
Greedy, 'Danielleport'->'SouthJames'->'EastLaurahaven'->'EastBrianmouth'->'Smalltown'->'Hinesmouth', 5, 245.757, 5, 6, 5.6, 0.00016290599978674436, success, 25
Astar, 'Danielleport'->'NewAnthonymouth'->'SouthJames'->'EastLaurahaven'->'EastBrianmouth'->'EastMelanie'->'Hinesmouth', 6, 244.403, 11, 20, 3.3636363636363638, 0.0002186600004279171, success, 25
IDAstar, 'Danielleport'->'NewAnthonymouth'->'PortBryan'->'SouthJames'->'EastLaurahaven'->'EastBrianmouth'->'Smalltown'->'Hinesmouth', 7, 287.14000000000004, 8, 17, 1.0, 0.0008393849993808544, success, 25
Backtracking, 'Kellyberg'->'Hodgetown'->'Michaelbury'->'PortOscarstad'->'Thomasville'->'NewNicoleland'->'PortTroyburgh'->'Lisatown', 7, 292.047, 7, 8, 1.0, 0.00014600399936171016, success, 25
BFS, 'Kellyberg'->'Michaelbury'->'PortTroyburgh'->'Lisatown', 3, 204.486, 17, 23, 4.705882352941177, 0.00021488400034286315, success, 25
DFS, 'Kellyberg'->'Shawnside'->'Hodgetown'->'Michaelbury'->'PortTroyburgh'->'Lisatown', 5, 270.43399999999997, 5, 6, 5.4, 0.00011892299971805187, success, 25
